NM_CANDIDATO,SG_PARTIDO,DS_CARGO,DT_DESPESA,SG_UF,ST_TURNO,DT_PRESTACAO_CONTAS,NR_CNPJ_PRESTADOR_CONTA,DS_TIPO_FORNECEDOR,NM_FORNECEDOR,NM_FORNECEDOR_RFB,DS_ORIGEM_DESPESA,DS_DESPESA,VR_DESPESA_CONTRATADA,SQ_DESPESA,SQ_CANDIDATO
MARIA TERESA SAENZ SURITA GUIMARÂES,MDB,Governador,12/08/2022,RR,1,01/11/2022,47395379000140,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO DE CONTEÚDO,15000,47629001,230001602186
MARIA TERESA SAENZ SURITA GUIMARÂES,MDB,Governador,12/08/2022,RR,1,01/11/2022,47395379000140,Pessoa Jurídica,ADYEN BR LTDA,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO DE CONTEÚDO,15000,47628544,230001602186
LEILA GOMES DE BARROS RÊGO,PDT,Governador,15/08/2022,DF,1,28/10/2022,47497181000177,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA.,GOOGLE BRASIL INTERNET LTDA.,Criação e inclusão de páginas na internet,SERVIÇOS DE APLICAÇÃO E HOSPEDAGEM NA INTERNET,50000,48080899,70001615674
MIGUEL DE SOUZA LEÃO COELHO,UNIÃO,Governador,15/08/2022,PE,1,31/10/2022,47422957000190,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO CONTEUDO GOOGLE,50000,48636221,170001604111
WILSON MIRANDA LIMA,UNIÃO,Governador,16/08/2022,AM,2,19/11/2022,47508732000150,Pessoa Jurídica,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO,7700,50813470,40001619528
WILSON MIRANDA LIMA,UNIÃO,Governador,16/08/2022,AM,2,19/11/2022,47508732000150,Pessoa Jurídica,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO,7700,50814301,40001619528
PABLO HENRIQUE COSTA MARÇAL,PROS,Presidente,16/08/2022,BR,1,14/12/2022,47368913000129,Pessoa Jurídica,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,Despesa com Impulsionamento de Conteúdos,REF IMPULSIONAMENTO REDE PARA PROPAGANDA ELEITORAL,5000,51340623,280001600179
PABLO HENRIQUE COSTA MARÇAL,PROS,Presidente,16/08/2022,BR,1,14/12/2022,47368913000129,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,REF IMPULSIONAMENTO REDE PARA PROPAGANDA ELEITORAL,5000,51340459,280001600179
ROBERTO CLÁUDIO RODRIGUES BEZERRA,PDT,Governador,16/08/2022,CE,1,06/03/2023,47486614000199,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,DESP C/ IMPULSIONAMENTO GOOGLE,17500,51602055,60001612926
ROBERTO CLÁUDIO RODRIGUES BEZERRA,PDT,Governador,16/08/2022,CE,1,06/03/2023,47486614000199,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S A,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESP C/ IMPULSIONAMENTO FACEBOOK,12500,51601933,60001612926
ROBERTO CLÁUDIO RODRIGUES BEZERRA,PDT,Governador,16/08/2022,CE,1,06/03/2023,47486614000199,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,DESP C/ IMPULSIONAMENTO GOOGLE,17500,51602215,60001612926
ROBERTO CLÁUDIO RODRIGUES BEZERRA,PDT,Governador,16/08/2022,CE,1,06/03/2023,47486614000199,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S A,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESP C/ IMPULSIONAMENTO FACEBOOCK,12500,51602257,60001612926
